restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
The Restaurant - Coorg,Casual Dining,4.3,504,1100,No,Yes,South Indian,Indiranagar,Indiranagar
The Retro,Quick Bites,3.2,47,300,Yes,No,"Chinese, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
The Rice Bowl,"Casual Dining, Bar",4.3,500,1300,Yes,Yes,"Chinese, Momos",Brigade Road,Lavelle Road
The Rice Company,Delivery,2.8,40,500,No,No,North Indian,Marathahalli,Marathahalli
The Rich Crust,Cafe,3.8,43,600,Yes,No,"Cafe, European, Continental",New BEL Road,Sahakara Nagar
THE RIG,"Microbrewery, Casual Dining",4.3,1585,1500,No,Yes,"Continental, Finger Food, Pizza",Bellandur,Sarjapur Road
The Ritz-Carlton Bar - The Ritz-Carlton,Lounge,4,93,2000,No,No,Finger Food,Brigade Road,Residency Road
The Roastery,Cafe,4.3,167,500,No,No,Cafe,Kalyan Nagar,Kalyan Nagar
The Rogue Elephant,Casual Dining,4.3,1037,1000,No,Yes,"Desserts, Asian, Beverages",Basavanagudi,Basavanagudi
The Rolling Pin,"Bakery, Dessert Parlor",4,74,400,No,No,"Bakery, Desserts",Indiranagar,Indiranagar
The RoofTop,Casual Dining,3.3,4,1000,No,No,"North Indian, Asian, Mediterranean",Brigade Road,St. Marks Road
The Royal Corner - Pai Viceroy,Casual Dining,4.2,815,900,Yes,Yes,"North Indian, Chinese",Banashankari,Jayanagar
The Salad Studio,Cafe,4,107,400,Yes,No,"Cafe, Healthy Food, Salad",Bellandur,Bellandur
The Salt Grill - Hilton Bangalore Embassy Golflinks,Fine Dining,4.1,94,3000,No,Yes,"European, Mediterranean, Salad",Koramangala 4th Block,Domlur
The Sanctuary,Cafe,3.9,61,450,No,No,"Cafe, Fast Food",Frazer Town,Banaswadi
The Sandesh Factory,Sweet Shop,3.2,4,150,No,No,"Mithai, Desserts",Bannerghatta Road,Bannerghatta Road
The Sandwich Club,Quick Bites,3.9,88,250,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR
The Second Wife,Casual Dining,3.7,68,800,Yes,No,"South Indian, Andhra, Biryani",Kalyan Nagar,Hennur
The Shake Factory Originals,"Beverage Shop, Quick Bites",3.3,8,200,No,No,"Beverages, Fast Food",Bannerghatta Road,Bannerghatta Road
The Shawarma Inc,Quick Bites,3.3,94,200,Yes,No,"Arabian, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
The Shawarma Shop,Quick Bites,2.8,40,250,No,No,Arabian,HSR,Koramangala 4th Block
The Sip Shop,Quick Bites,2.8,40,200,Yes,No,"Pizza, Beverages, Ice Cream",Banashankari,Basavanagudi
The Sky Lounge - Tamarind Hospitality,Bar,3.7,40,1200,No,No,"North Indian, South Indian, Chinese, Continental",Kalyan Nagar,Banaswadi
The Smoke Co.,Casual Dining,4.3,516,2500,Yes,Yes,"American, European","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Casual Dining,3.8,176,1350,No,Yes,"North Indian, Afghan",Jayanagar,Jayanagar
The Souk,Cafe,3.7,66,800,Yes,No,"Cafe, Mediterranean, Italian, Pizza, Continental",Brigade Road,Ulsoor
The South,Quick Bites,3.7,21,200,No,No,South Indian,Whitefield,Whitefield
The Spice Bazaar,"Casual Dining, Bar",4.2,332,1000,No,Yes,"North Indian, Mughlai",Brigade Road,Lavelle Road
The Spice Box,Casual Dining,3.6,30,800,No,No,"North Indian, South Indian",Indiranagar,Old Airport Road
The Spice Factory,Casual Dining,3.1,29,550,Yes,No,"North Indian, Mughlai, Chinese",HSR,HSR
The Spice Pavillion,Casual Dining,3.7,125,600,Yes,No,North Indian,Brookefield,Marathahalli
The Spice Saga,Casual Dining,3.7,124,750,Yes,No,"Biryani, North Indian, Chinese, Seafood",Banashankari,Kumaraswamy Layout
The Spicy Kitchen,Quick Bites,3.1,17,300,Yes,No,"Arabian, Rolls",Old Airport Road,Thippasandra
The Square - Novotel,Fine Dining,4.3,760,2500,No,Yes,"Continental, North Indian, Japanese, Italian",Bellandur,Marathahalli
The Square Table,Casual Dining,4.2,560,1000,Yes,Yes,"North Indian, Maharashtrian, South Indian",Brookefield,Whitefield
The Story Wall Bistro,Casual Dining,3.7,18,600,No,No,"Italian, Continental",Kalyan Nagar,Banaswadi
The Street Kitchen,Quick Bites,3.7,16,300,Yes,No,"North Indian, Fast Food, Chinese, Beverages",Malleshwaram,New BEL Road
The Studio Bar,Lounge,4,775,1400,No,No,"Italian, American, North Indian",Malleshwaram,Malleshwaram
The Studio Cafe,Cafe,3.8,20,400,No,No,"Cafe, Beverages",Basavanagudi,Jayanagar
The Sugar Factory - Le Meridien,Club,3.9,628,2000,No,No,Finger Food,Lavelle Road,Sankey Road
The Sugar Fairy,Bakery,4.3,241,100,No,No,"Bakery, Desserts",Frazer Town,Frazer Town
The Sugar Therapy,"Dessert Parlor, Bakery",3.8,25,500,No,No,"Desserts, Bakery",Brigade Road,Richmond Road
The Sweet Spot,Dessert Parlor,4,157,300,No,No,Desserts,Koramangala 4th Block,Koramangala 6th Block
The Table,Bakery,3.8,42,400,Yes,No,"Bakery, Desserts",Old Airport Road,Indiranagar
The Taj Hotel,Quick Bites,3.5,12,350,No,No,"Biryani, Mughlai",Basavanagudi,City Market
The Tandoori Chai,Quick Bites,3.9,60,400,Yes,No,"North Indian, Fast Food, Street Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR
The Tao Terraces,Casual Dining,3.9,1937,2100,Yes,Yes,"Thai, Japanese, Korean, Burmese, Chinese",Lavelle Road,MG Road
The Taste Adda,Quick Bites,2.8,40,200,No,No,"North Indian, Fast Food, Beverages",Brigade Road,Ulsoor
The Taste Players,Casual Dining,3.7,51,500,Yes,No,"North Indian, Chinese, Mughlai, Biryani",Whitefield,Whitefield
The Teal Door Cafe,Cafe,4.2,1852,800,Yes,No,"Cafe, Continental",Indiranagar,Indiranagar
The Terminus - The Oterra,Lounge,4,119,2500,No,Yes,"Finger Food, Continental",Electronic City,Electronic City
The Terrace at Gilly's Redefined,"Microbrewery, Casual Dining",4.5,905,1400,No,Yes,"Continental, Finger Food, Asian, North Indian",Koramangala 6th Block,Koramangala 4th Block
The Terrace at Windmills Craftworks,Casual Dining,4.1,450,1800,No,No,North Indian,Brookefield,Whitefield
The Thali Company,"Takeaway, Delivery",3.3,7,600,No,No,"North Indian, Lucknowi",HSR,HSR
The ThickShake Factory,Beverage Shop,2.8,19,350,Yes,No,"Beverages, Juices",Brigade Road,Cunningham Road
The Three Dragons,Delivery,3.3,5,400,No,No,Chinese,Electronic City,Electronic City
The Tiffin Express,Quick Bites,2.6,16,250,No,No,South Indian,Koramangala 4th Block,Koramangala 4th Block
The Timber Times Cafe,Cafe,3.2,4,,No,No,Cafe,Malleshwaram,Malleshwaram
The Tiny Taproom,"Bar, Casual Dining",2.8,40,800,No,No,"South Indian, North Indian, Chinese, Thai",Indiranagar,Indiranagar
The Tower Of Pizza,Quick Bites,2.9,16,500,No,No,"Pizza, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
The Trundle,Casual Dining,3.7,133,700,Yes,No,"Chinese, Thai, Continental, North Indian",Banashankari,Jayanagar
The Tucck Box,Quick Bites,3.4,7,300,No,No,"Chinese, South Indian",JP Nagar,JP Nagar
The Twenty Handmade Chocolates,Confectionery,3.8,30,300,Yes,No,Desserts,HSR,HSR
The Twisted Desi,Casual Dining,2.8,40,1000,Yes,Yes,"Continental, Italian, North Indian, Chinese",Frazer Town,Indiranagar
The Underground Gastropub,Pub,3,37,1000,No,No,Finger Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
The Underpass Pub & Grub,"Pub, Casual Dining",4,720,1500,No,Yes,"Finger Food, Continental, North Indian, Chinese",JP Nagar,JP Nagar
The Upper Deck - Raaj Residency,Casual Dining,3.6,35,800,Yes,No,"North Indian, Chinese",Basavanagudi,Basavanagudi
The Urban Roof,Casual Dining,3.6,80,800,Yes,No,"Italian, Chinese, Continental",Kammanahalli,Kalyan Nagar
The US Burger,Quick Bites,3,13,150,No,No,Fast Food,Electronic City,Electronic City
The Vacationer's Cafe,Cafe,4.1,306,600,Yes,No,"Cafe, Continental, Mexican","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
The Vape,Casual Dining,4,600,800,Yes,No,"Asian, Beverages",Bellandur,HSR
The Velu's,Kiosk,3.6,12,200,No,No,"Fast Food, Chinese",Indiranagar,Domlur
The Village Hotel,Quick Bites,3.5,14,450,Yes,No,Kerala,"Byresandra,Tavarekere,Madiwala",HSR
The Village Restaurant,Quick Bites,3,9,200,No,No,"North Indian, Chinese",Whitefield,Whitefield
The Vintage Cafe,Cafe,3,62,400,Yes,No,"Cafe, French, North Indian",Banashankari,Banashankari
The Waffcake Legacy,Dessert Parlor,4,167,350,Yes,No,"Desserts, Street Food, Sandwich, Beverages",Brookefield,Marathahalli
The Waffle Press,Dessert Parlor,4.2,122,400,Yes,No,"Desserts, Ice Cream",MG Road,St. Marks Road
The Waffle Street,"Quick Bites, Dessert Parlor",3.9,46,300,Yes,No,"Continental, Beverages, Burger, Coffee, Desserts","Byresandra,Tavarekere,Madiwala",HSR
The Waffle Yard,"Dessert Parlor, Quick Bites",4.2,149,300,No,No,"Desserts, Fast Food",New BEL Road,New BEL Road
The Waffles Hut,Dessert Parlor,3.6,17,400,Yes,No,Desserts,Malleshwaram,Malleshwaram
The Waverly Express,Cafe,3.5,12,650,No,No,Cafe,Whitefield,Whitefield
The Whiskey Bar,Bar,3.7,43,2800,No,Yes,"Finger Food, North Indian",Brigade Road,Race Course Road
The White Room - Coffee & Kitchen,Cafe,4,1701,1000,No,Yes,"Cafe, Continental, American, Desserts",Brigade Road,Church Street
The Whitefield Arms Pub & Microbrewery,"Pub, Microbrewery",4.2,1113,1600,Yes,Yes,"British, Continental, BBQ",Whitefield,Whitefield
The Wicked Cup,Cafe,3.9,56,350,No,No,"Cafe, Sandwich, Fast Food, Beverages, Desserts",HSR,HSR
The Wok,Food Court,2.8,89,500,Yes,No,"Chinese, Momos",Brookefield,Whitefield
The Wok Shop,Quick Bites,3.4,7,500,Yes,No,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",Brigade Road,Ulsoor
The World Cafe,Cafe,3.8,31,600,No,No,Cafe,Malleshwaram,Malleshwaram
The Yellow Chilli,Casual Dining,3.8,583,1200,Yes,Yes,"North Indian, Mughlai, Biryani",Jayanagar,Jayanagar
The Yellow Submarine,"Microbrewery, Casual Dining",4.4,2075,1200,No,Yes,"Continental, North Indian, Chinese, Pizza, Thai",JP Nagar,Bannerghatta Road
The Yellow Tuk-Tuk Cafe,Cafe,3.6,16,500,No,No,"Cafe, Continental, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
The Yogisthaan Cafe,Cafe,4.1,60,600,Yes,No,"Cafe, Healthy Food, Salad, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block
The Yummy Box,Quick Bites,3.8,28,200,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli
The Yummy Tummy,Quick Bites,3.5,13,200,No,No,"North Indian, Street Food",Bannerghatta Road,Bannerghatta Road
The Zaika Of Banaras,Quick Bites,3.3,26,350,Yes,No,"North Indian, Street Food",Marathahalli,Marathahalli
Theeram Restaurant,Quick Bites,3.8,46,400,Yes,No,"North Indian, Kerala",Sarjapur Road,Sarjapur Road
Thejas Bhavan,Quick Bites,3.5,27,400,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road,Bannerghatta Road
TheRiceBowl.In,Takeaway,3.4,19,200,Yes,No,"Biryani, North Indian",Bannerghatta Road,BTM
TherPUP - a Dog Cafe,Cafe,4.2,1012,700,No,No,Cafe,Whitefield,Whitefield
Thindi Mane,Quick Bites,3.4,6,300,No,No,South Indian,JP Nagar,JP Nagar
Thindi Palace,Casual Dining,3.1,61,600,No,No,"North Indian, South Indian, Chinese",Rajajinagar,Basaveshwara Nagar
Third Wave Coffee Roasters,Cafe,2.8,40,800,No,No,"Cafe, Continental, Desserts",Brookefield,Whitefield
Third Wave Coffee Roasters @ The Bohemian House,Cafe,2.8,40,800,No,No,"Cafe, Continental, Desserts",Lavelle Road,Richmond Road
Thirsty Tiger,"Bar, Casual Dining",3.5,51,1300,No,Yes,"Continental, Finger Food",Bannerghatta Road,JP Nagar
Thiruvithamkoor Restaurant,Quick Bites,3.3,294,400,Yes,No,"Kerala, Seafood, South Indian, Biryani",Bellandur,Sarjapur Road
This Cafe Has No Name Cafe,Cafe,3.2,79,500,Yes,No,"Cafe, Beverages",Electronic City,Electronic City
Thom's Bakery,"Bakery, Quick Bites",4.1,211,200,No,No,"Bakery, Fast Food",Brigade Road,Frazer Town
Thomson's Bakery,Bakery,3.5,7,300,No,No,Bakery,Frazer Town,Frazer Town
Thottathil Restaurant,Quick Bites,3.8,69,300,No,No,"Kerala, South Indian, Biryani","Byresandra,Tavarekere,Madiwala",BTM
Thran,Casual Dining,4.2,308,1300,No,Yes,Korean,Kalyan Nagar,Kalyan Nagar
Thran Bakery,Bakery,3.6,8,600,No,No,"Bakery, Desserts, Beverages",Kalyan Nagar,Kalyan Nagar
Three Dots & A Dash,"Bar, Casual Dining",4.3,1196,1500,No,Yes,"European, Continental",Bannerghatta Road,JP Nagar
Thrilok Restaurant,Quick Bites,3.4,9,350,No,No,"Mangalorean, Seafood",Banashankari,Banashankari
ThrowBack - Pub & Dine,"Bar, Casual Dining",3.9,234,1000,No,No,"Italian, North Indian, Continental",Brigade Road,Langford Town
Thrupthi Restaurant,Quick Bites,3.4,15,150,No,No,Kerala,Bannerghatta Road,Bannerghatta Road
ThugLife Rolls,Quick Bites,,40,200,No,No,Rolls,Koramangala 6th Block,Hosur Road
Thunder Fried Chicken,Quick Bites,3.6,179,350,Yes,No,"North Indian, Biryani, Mughlai, Rolls",Indiranagar,Jeevan Bhima Nagar
T-hut Cafe,Quick Bites,3.6,21,300,Yes,No,"Chinese, Beverages",Kalyan Nagar,Banaswadi
Thyme & Whisk,Casual Dining,2.8,40,800,Yes,No,"Asian, Chinese, Continental, Italian",Basavanagudi,Jayanagar
Tiamo - Conrad Bengaluru,Fine Dining,4.2,139,2500,No,Yes,"Italian, Mediterranean",Indiranagar,Ulsoor
Tibbs Frankie,Quick Bites,2.9,17,200,No,No,"Street Food, Rolls",Whitefield,Whitefield
Tibetan Kitchen,Quick Bites,4.3,245,600,Yes,No,"Tibetan, Chinese, Continental, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Tibetan Mother's Kitchen,Casual Dining,4,957,500,Yes,No,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Tiffanys,Casual Dining,2.9,31,1000,No,No,"Continental, Italian, Chinese",Brigade Road,Shanti Nagar
Tiffin Box,"Takeaway, Delivery",2.8,40,200,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
Tiffin Inn's,Quick Bites,3.7,24,250,Yes,No,South Indian,Marathahalli,Marathahalli
Tiffin Room - Miraya Hotel & Residences,Fine Dining,3.7,138,2000,No,Yes,"North Indian, South Indian, Asian",Whitefield,Whitefield
Tiffinwala,"Takeaway, Delivery",2.8,40,500,Yes,No,"North Indian, Chinese",Indiranagar,Indiranagar
Tiffun,Quick Bites,3.9,83,300,Yes,No,North Indian,Indiranagar,CV Raman Nagar
Tiger Trail - Ramada Hotel,"Casual Dining, Bar",4,188,1300,Yes,Yes,"North Indian, Lucknowi",Brigade Road,Shivajinagar
Tiger Trail - Royal Orchid Hotel,Fine Dining,4.1,303,2000,No,Yes,North Indian,Indiranagar,Old Airport Road
Tijouri,Fine Dining,4,70,2800,No,Yes,"North Indian, Mughlai",Brigade Road,Race Course Road
Tikka Kebab,Quick Bites,3.7,69,250,Yes,No,"Kebab, North Indian, Chinese",Electronic City,Electronic City
Till The Last Bite,Quick Bites,3.4,7,300,No,No,"North Indian, Chinese",Electronic City,Electronic City
Tilt Gastro Lounge,"Lounge, Casual Dining",4.1,1235,1500,No,Yes,"Continental, American, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Tim Cafe,Cafe,3.6,39,250,Yes,No,"Cafe, Sandwich, Beverages",Brookefield,Marathahalli
Tim Tai,Casual Dining,4.4,3667,1400,Yes,Yes,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Time Traveller - Sai Vishram,Casual Dining,4.2,882,1100,Yes,No,"Continental, North Indian, South Indian, Chinese",Electronic City,Electronic City
Timepass Dinner,Casual Dining,3.8,286,600,Yes,No,North Indian,Banashankari,Basavanagudi
Tintin Da Dhaba,Casual Dining,3.4,7,500,No,No,North Indian,Marathahalli,Marathahalli
Tippler,Pub,4.2,2901,1300,No,Yes,"Russian, Continental, North Indian",Indiranagar,Indiranagar
Tipsy Bull - The Bar Exchange,"Bar, Casual Dining",4.4,2182,1400,Yes,Yes,"North Indian, Chinese, Continental, Mexican",Bellandur,Bellandur
Tisano Cafe,Cafe,3.8,54,500,Yes,No,"Cafe, Fast Food, Chinese, Continental",Bannerghatta Road,Bannerghatta Road
Tiwari's,Quick Bites,3.8,69,200,Yes,No,"North Indian, Street Food",Jayanagar,Jayanagar
Tiwari's Ghee Paratha and Chats,Quick Bites,3.2,6,200,Yes,No,"North Indian, Street Food",Bannerghatta Road,JP Nagar
TLP Cafe,Cafe,3.9,250,400,Yes,No,"Cafe, Italian",Malleshwaram,Malleshwaram
Toast & Tonic,Casual Dining,4.6,1082,1500,No,Yes,"European, Asian",Brigade Road,Richmond Road
Toast And Salad,Quick Bites,3.5,25,300,Yes,No,Healthy Food,New BEL Road,New BEL Road
Today Coffee,Quick Bites,2.8,40,150,Yes,No,South Indian,Electronic City,Electronic City
Toit,Microbrewery,4.7,14956,1500,No,No,"Italian, American, Pizza",Indiranagar,Indiranagar
TOKI Taco House,Quick Bites,3.6,72,200,Yes,No,Mexican,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Tomago Roast,Quick Bites,3.5,12,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",BTM
Tomba Kitchens,Quick Bites,2.8,40,300,No,No,North Eastern,Koramangala 4th Block,Ejipura
Tongue Twisters,Quick Bites,3.5,283,350,Yes,No,"Bengali, North Indian, Oriya",Bannerghatta Road,BTM
Top Foam Parantha Roll & Juice Centre,Quick Bites,3.4,13,300,No,No,"North Indian, Chinese, Fast Food, Rolls",Koramangala 7th Block,BTM
Toping Twist,Quick Bites,2.8,40,200,No,No,Chinese,HSR,HSR
Toscano,Casual Dining,4.2,1038,1500,Yes,Yes,"Italian, Salad",Whitefield,Whitefield
Toscano - Mojito Bar,Casual Dining,4.3,654,1500,Yes,Yes,"Continental, Italian, Mediterranean, Salad",Whitefield,Whitefield
Toscano Wine Connection,"Casual Dining, Bar",2.8,40,1200,No,No,"Mediterranean, Italian",Brookefield,"Varthur Main Road, Whitefield"
Tosco,Beverage Shop,3.5,13,250,No,No,Beverages,Indiranagar,Indiranagar
Totaram's Paranthas,Quick Bites,3.5,140,300,Yes,No,North Indian,Malleshwaram,New BEL Road
Totus,Quick Bites,2.8,40,300,Yes,No,Chinese,Bannerghatta Road,BTM
Treat,Casual Dining,3.8,60,800,Yes,No,"North Indian, Mughlai",Brookefield,Whitefield
Treat Kitchen,Quick Bites,3.8,79,400,Yes,No,"North Indian, Chinese, Seafood",Marathahalli,Thippasandra
Treat Restaurant,Casual Dining,2.8,31,400,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Whitefield
Treatley,Delivery,3.1,425,500,Yes,No,"North Indian, Fast Food",Whitefield,Whitefield
Tree Top,Casual Dining,3.8,74,1000,Yes,No,"Continental, Chinese, North Indian, South Indian",Basavanagudi,Wilson Garden
Tree Tops Bar & Kitchen,"Casual Dining, Bar",4.4,108,1000,No,Yes,"North Indian, Chinese, Continental, Italian",Brigade Road,Lavelle Road
Trendz Corner,Quick Bites,3.6,31,200,No,No,"South Indian, North Indian",Basavanagudi,Jayanagar
Trick Or Treat,Cafe,4.2,618,500,No,No,"Cafe, Burger, Continental, Pizza, Steak",Brigade Road,Brigade Road
TRIGEREATO,Cafe,4.3,104,700,Yes,Yes,"Cafe, Continental, Beverages",Koramangala 7th Block,Koramangala 8th Block
Trinity Club Lounge,Lounge,3.5,20,1500,No,No,Finger Food,Brookefield,Whitefield
Trippy Paradise,Cafe,2.6,59,900,Yes,No,Cafe,Bannerghatta Road,BTM
Tripti Hotel & Restaurant,Quick Bites,3.6,18,200,No,No,"Biryani, South Indian, North Indian",New BEL Road,New BEL Road
Tripura Express,"Takeaway, Delivery",2.9,156,450,Yes,No,"Pizza, Beverages",Indiranagar,Old Airport Road
Trisha's Kitchen,"Takeaway, Delivery",3.2,4,300,Yes,No,"North Indian, Chinese",Electronic City,Electronic City
Triveni,Casual Dining,3.6,33,600,Yes,No,"Andhra, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
Trofi N Treats,Food Court,2.8,9,250,Yes,No,"Rolls, Fast Food",Rajajinagar,Vijay Nagar
Troll,Dessert Parlor,3.8,102,300,Yes,No,"Desserts, Ice Cream",Brigade Road,Indiranagar
Troll Cafe,Cafe,3.4,7,400,No,No,Cafe,Malleshwaram,Rajajinagar
TRP -That Roll Place,"Quick Bites, Food Court",3.6,14,200,No,No,"Fast Food, Rolls",Bellandur,Bellandur
TRS Family Restaurant,Quick Bites,2.8,40,150,No,No,"South Indian, Andhra",Electronic City,Electronic City
TRUE BLEU RESTO CAFE,Quick Bites,4.2,70,400,Yes,No,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",HSR,HSR
True South,Quick Bites,2.8,40,200,Yes,No,"Beverages, Fast Food",Electronic City,Electronic City
Truffles,Cafe,4.5,3568,900,No,No,"Cafe, American, Burger, Steak",Brigade Road,St. Marks Road
Truly Punjab,"Takeaway, Delivery",4,360,500,Yes,No,"North Indian, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Tuba Rolls & Snacks,Quick Bites,3,58,200,Yes,No,"Chinese, Fast Food, North Indian, Rolls",Electronic City,Electronic City
Tuckinto,Cafe,3.8,30,400,Yes,No,Cafe,Malleshwaram,Yeshwantpur
Tuffreys,Dessert Parlor,3.6,25,250,Yes,No,"Desserts, Ice Cream",Indiranagar,CV Raman Nagar
Tuk-Tuk,Food Court,2.7,36,400,No,No,North Indian,Whitefield,Whitefield
Tulips,Casual Dining,3.1,19,800,No,No,"North Indian, South Indian, Chinese, Continental",Bannerghatta Road,Bannerghatta Road
Tumbites,Quick Bites,2.8,40,200,Yes,No,North Indian,Bellandur,Bellandur
Tummy Delight,Quick Bites,3.5,15,400,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
Tummy Fuel,Cafe,4.1,450,400,Yes,No,"Cafe, Beverages, Fast Food",Jayanagar,Jayanagar
Tummy Singh,Quick Bites,2.8,40,700,Yes,No,"North Indian, Chinese",Brookefield,Brookefield
Tummy Wants Yummy,Quick Bites,2.8,40,150,No,No,North Indian,Marathahalli,Marathahalli
Tunday Kababi,Casual Dining,3.8,721,500,Yes,No,"North Indian, Rolls, Kebab",Indiranagar,Indiranagar
Turkish Shawarma,"Takeaway, Delivery",3.6,21,200,Yes,No,Rolls,Basavanagudi,BTM
Turquoise,Lounge,2.8,56,1200,No,No,North Indian,Bannerghatta Road,JP Nagar
Twilight Global Restaurant,Quick Bites,3.5,22,600,Yes,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
Twins,"Casual Dining, Bar",3.8,139,500,No,No,"North Indian, Chinese, Continental",Kalyan Nagar,Kammanahalli
Twist N Roll,Quick Bites,3.4,13,,No,No,Fast Food,New BEL Road,Yelahanka
Twiststick House,Quick Bites,4.1,163,500,Yes,No,"Continental, Fast Food, Street Food, Momos",Banashankari,Basavanagudi
Two Friends Cauldron,Casual Dining,4.1,448,700,Yes,Yes,"Continental, Italian, American",Bannerghatta Road,JP Nagar
Two States,Quick Bites,3.4,5,250,No,No,"North Indian, South Indian, Chinese, Street Food","Byresandra,Tavarekere,Madiwala",BTM
U.P. Dhaba,Quick Bites,2.8,511,350,Yes,No,"North Indian, Chinese",Brookefield,Whitefield
UBCR,Cafe,3.5,9,1000,No,No,"Italian, American, Chinese, Arabian, North Indian, Cafe",Marathahalli,Marathahalli
UBCR Cafe & Resto,Cafe,3.6,17,500,No,No,"Cafe, Burger, Continental, Chinese",HSR,HSR
UBQ By Barbeque Nation,Delivery,3.1,14,450,Yes,No,"North Indian, BBQ, Biryani, Kebab",Kalyan Nagar,Kalyan Nagar
Uday Sweets,Sweet Shop,3.5,33,250,Yes,No,"Mithai, Fast Food",Koramangala 4th Block,Koramangala 6th Block
Udupa Fast Food,Quick Bites,3.3,4,400,No,No,South Indian,Malleshwaram,Rajajinagar
Udupas Veg Restaurant,Quick Bites,3.2,11,300,No,No,"South Indian, North Indian",Frazer Town,Banaswadi
Udupi Aatithya,Quick Bites,4,77,300,Yes,No,"South Indian, North Indian, Chinese",Bellandur,Bellandur
Udupi Bhavan,Quick Bites,3.8,170,400,Yes,No,"Chinese, North Indian, South Indian",HSR,HSR
Udupi Cafe,Quick Bites,3.6,12,300,Yes,No,"South Indian, North Indian, Chinese, Street Food",Whitefield,Whitefield
Udupi Delux,Casual Dining,2.6,140,400,No,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield
Udupi Deluxe,Quick Bites,3.8,35,300,No,No,"South Indian, North Indian, Chinese",Marathahalli,Kaggadasapura
Udupi Food Junction,Quick Bites,3.5,9,250,Yes,No,"South Indian, North Indian",Electronic City,Electronic City
Udupi Garden,Quick Bites,3,44,300,No,No,"North Indian, Chinese, South Indian, Street Food",Malleshwaram,Yeshwantpur
Udupi Gardenia,Quick Bites,3.3,21,400,Yes,No,South Indian,Kammanahalli,Banaswadi
Udupi Gokul Cafe,Quick Bites,3.8,58,300,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
Udupi Grand,Quick Bites,2.8,64,300,No,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Udupi Grand Veg,Quick Bites,3,208,450,Yes,No,South Indian,Brookefield,Marathahalli
Udupi Nalapaka,Quick Bites,3.7,37,400,Yes,No,"South Indian, North Indian, Chinese",Bellandur,Bellandur
Udupi Palace,Quick Bites,3.7,446,400,No,No,"South Indian, North Indian, Chinese, Street Food",HSR,HSR
Udupi Ruchi,Quick Bites,3.8,40,300,Yes,No,"South Indian, Chinese, North Indian, Desserts, Continental",Malleshwaram,Rajajinagar
Udupi Ruchi Grand,Quick Bites,4.2,60,200,Yes,No,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari
Udupi Savi Thindi,"Takeaway, Delivery",3.5,15,300,Yes,No,"South Indian, North Indian, Chinese",HSR,Sarjapur Road
Udupi South Saviruchi,Quick Bites,3.7,15,250,Yes,No,"South Indian, North Indian, Chinese, Street Food",New BEL Road,Jalahalli
Udupi Sri Krishna Bhavan,Quick Bites,4.1,238,600,No,No,South Indian,Banashankari,Basavanagudi
Udupi Sri Krishna Cafe,Casual Dining,3.9,14,600,Yes,No,"North Indian, South Indian",Banashankari,Jayanagar
Udupi Tazza Thindi,Quick Bites,3.2,7,300,No,No,"South Indian, North Indian, Chinese",New BEL Road,New BEL Road
Udupi Thaja Thindi,Quick Bites,2.9,42,250,Yes,No,"North Indian, South Indian, Chinese, Fast Food",Bannerghatta Road,BTM
